"Артикул";"Название";"Код категории";"Категория";"Купаж, руб";"Упаковка, руб";"Итого себестоимость, руб";"Цена +40%, руб"
"7345-ПА250";"Связанный чай ""Букет лилии"", 250 гр";"1.2";"Зеленые чаи";1323,81;0,00;1323,81;1853,33
"7345-ПР250";"Связанный чай ""Букет лилии""";"1.2";"Зеленые чаи";1323,81;11,21;1335,02;1869,03
"7349-ПР100";"Розовая матча (Питахайя), 100 гр";"2.1";"Травяные моносорта";191,67;7,23;198,90;278,46
"9903-ПА500";"Весенняя бабочка, 500 гр";"1.3.3";"Улуны с ароматами";382,07;0,00;382,07;534,89
"9904-ПА500";"Цветущий сад, 500 гр";"1.3.3";"Улуны с ароматами";279,32;0,00;279,32;391,05
"9906-ПА500";"Гранатовый браслет, 500 гр";"2.3.2";"Фруктово-ягодные напитки с ароматами";518,05;0,00;518,05;725,28
"9910-ПА500";"Эйфория, 500 гр";"2.3.2";"Фруктово-ягодные напитки с ароматами";906,30;0,00;906,30;1268,83
"9912-10";"ПЭТ Сосновый лес";"1.1.2";"Черный чай с добавками";70,03;27,40;97,43;136,41
"9912-ПА500";"Сосновый лес, 500 гр";"1.1.2";"Черный чай с добавками";389,07;4,05;393,12;550,37
"9912/1-ПА500";"Сосновый лес Премиум, 500 гр";"1.1.2";"Черный чай с добавками";570,94;0,00;570,94;799,32
"9913-ПА500";"Манговый сорбет, 500 гр";"1.3.3";"Улуны с ароматами";438,68;0,00;438,68;614,15
"9914-ПА500";"Апельсиновый джелато, 500 гр";"1.3.3";"Улуны с ароматами";375,27;0,00;375,27;525,38
"9917-ПА500";"Тропикал пати, 500 гр.";"1.1.3";"Черный чай с ароматами";255,17;4,05;259,22;362,90
